# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-04
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 3.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 5.0000e-03
1, 1, 3.7500e+01, 2.2084e+01, 1.0000e-02
1, 1, 3.7500e+01, 2.2084e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.2084e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2084e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.2084e+01, 7.7000e-02
1, 1, 3.7500e+01, 2.1435e+01, 1.3000e-01
1, 1, 3.7500e+01, 2.0237e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.8717e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.6837e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.5361e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.3101e+01, 1.7000e+00
1, 1, 3.7500e+01, 1.0968e+01, 3.0000e+00
1, 1, 3.7500e+01, 8.6857e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5355e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.9011e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.8551e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.0788e+00, 3.0000e+01
1, 1, 3.7500e+01, 5.1813e-01, 4.0000e+01
1, 1, 3.7500e+01, 8.3228e-02, 5.0000e+01
1, 1, 3.7500e+01, 9.4673e-04, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.1084e+01, 5.0000e-04
1, 2, 3.7500e+01, 1.1084e+01, 1.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 3.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 5.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 1.0000e-02
1, 2, 3.7500e+01, 1.1084e+01, 1.6000e-02
1, 2, 3.7500e+01, 1.1084e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.1084e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.1084e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.0758e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.0157e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.3944e+00, 3.5000e-01
1, 2, 3.7500e+01, 8.4507e+00, 6.0000e-01
1, 2, 3.7500e+01, 7.7097e+00, 9.5000e-01
1, 2, 3.7500e+01, 6.5753e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.5048e+00, 3.0000e+00
1, 2, 3.7500e+01, 4.3594e+00, 5.1000e+00
1, 2, 3.7500e+01, 3.2802e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.4599e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4330e+00, 1.9000e+01
1, 2, 3.7500e+01, 5.4147e-01, 3.0000e+01
1, 2, 3.7500e+01, 2.6005e-01, 4.0000e+01
1, 2, 3.7500e+01, 4.1773e-02, 5.0000e+01
1, 2, 3.7500e+01, 4.7517e-04, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.1084e+01, 5.0000e-04
1, 2, 3.7500e+01, 1.1084e+01, 1.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 3.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 5.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 1.0000e-02
1, 2, 3.7500e+01, 1.1084e+01, 1.6000e-02
1, 2, 3.7500e+01, 1.1084e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.1084e+01, 4.5000e-02
1, 2, 3.7500e+01, 1.1084e+01, 7.7000e-02
1, 2, 3.7500e+01, 1.0758e+01, 1.3000e-01
1, 2, 3.7500e+01, 1.0157e+01, 2.1000e-01
1, 2, 3.7500e+01, 9.3944e+00, 3.5000e-01
1, 2, 3.7500e+01, 8.4507e+00, 6.0000e-01
1, 2, 3.7500e+01, 7.7097e+00, 9.5000e-01
1, 2, 3.7500e+01, 6.5753e+00, 1.7000e+00
1, 2, 3.7500e+01, 5.5048e+00, 3.0000e+00
1, 2, 3.7500e+01, 4.3594e+00, 5.1000e+00
1, 2, 3.7500e+01, 3.2802e+00, 8.3000e+00
1, 2, 3.7500e+01, 2.4599e+00, 1.2000e+01
1, 2, 3.7500e+01, 1.4330e+00, 1.9000e+01
1, 2, 3.7500e+01, 5.4147e-01, 3.0000e+01
1, 2, 3.7500e+01, 2.6005e-01, 4.0000e+01
1, 2, 3.7500e+01, 4.1773e-02, 5.0000e+01
1, 2, 3.7500e+01, 4.7517e-04, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.1084e+01, 5.0000e-04
1, 2, 3.7500e+01, 1.1084e+01, 1.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 3.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 5.0000e-03
1, 2, 3.7500e+01, 1.1084e+01, 1.0000e-02
1, 2, 3.7500e+01, 1.1084e+01, 1.6000e-02
1, 2, 3.7500e+01, 1.1084e+01, 2.7000e-02
1, 2, 3.7500e+01, 1.1084e+01, 4.5000e-02
